树个数为242： accu=0.84207535 recall=0.5236202 tp=5531 tn=38875 fp=3296 fn=5032
树个数为243： accu=0.84139264 recall=0.52844834 tp=5582 tn=38788 fp=3383 fn=4981
树个数为244： accu=0.8403876 recall=0.5262709 tp=5559 tn=38758 fp=3413 fn=5004
树个数为245： accu=0.8392119 recall=0.5354539 tp=5656 tn=38599 fp=3572 fn=4907
树个数为246： accu=0.8416202 recall=0.5333712 tp=5634 tn=38748 fp=3423 fn=4929
树个数为247： accu=0.8419426 recall=0.5343179 tp=5644 tn=38755 fp=3416 fn=4919
树个数为248： accu=0.8386809 recall=0.5425542 tp=5731 tn=38496 fp=3675 fn=4832
树个数为249： accu=0.8388706 recall=0.5432169 tp=5738 tn=38499 fp=3672 fn=4825
树个数为250： accu=0.8375052 recall=0.54520494 tp=5759 tn=38406 fp=3765 fn=4804
树个数为251： accu=0.8381879 recall=0.54435295 tp=5750 tn=38451 fp=3720 fn=4813
树个数为252： accu=0.8389843 recall=0.5430275 tp=5736 tn=38507 fp=3664 fn=4827
树个数为253： accu=0.8357606 recall=0.54482627 tp=5755 tn=38318 fp=3853 fn=4808
树个数为254： accu=0.836083 recall=0.53232986 tp=5623 tn=38467 fp=3704 fn=4940
树个数为255： accu=0.8341867 recall=0.5309098 tp=5608 tn=38382 fp=3789 fn=4955
树个数为256： accu=0.8349831 recall=0.52825904 tp=5580 tn=38452 fp=3719 fn=4983
树个数为257： accu=0.83481246 recall=0.5239042 tp=5534 tn=38489 fp=3682 fn=5029
树个数为258： accu=0.83348507 recall=0.52570295 tp=5553 tn=38400 fp=3771 fn=5010
树个数为259： accu=0.8364812 recall=0.51169175 tp=5405 tn=38706 fp=3465 fn=5158
树个数为260： accu=0.83665186 recall=0.5146265 tp=5436 tn=38684 fp=3487 fn=5127
树个数为261： accu=0.82993895 recall=0.5297737 tp=5596 tn=38170 fp=4001 fn=4967
树个数为262： accu=0.82540673 recall=0.5364953 tp=5667 tn=37860 fp=4311 fn=4896
树个数为263： accu=0.8240225 recall=0.54151285 tp=5720 tn=37734 fp=4437 fn=4843
树个数为264： accu=0.82333976 recall=0.5302471 tp=5601 tn=37817 fp=4354 fn=4962
树个数为265： accu=0.817575 recall=0.5311938 tp=5611 tn=37503 fp=4668 fn=4952
树个数为266： accu=0.8138582 recall=0.5392407 tp=5696 tn=37222 fp=4949 fn=4867
树个数为267： accu=0.81482536 recall=0.53914607 tp=5695 tn=37274 fp=4897 fn=4868
树个数为268： accu=0.8145409 recall=0.5411341 tp=5716 tn=37238 fp=4933 fn=4847
树个数为269： accu=0.812948 recall=0.54387957 tp=5745 tn=37125 fp=5046 fn=4818
树个数为270： accu=0.8102552 recall=0.54558367 tp=5763 tn=36965 fp=5206 fn=4800
树个数为271： accu=0.81497705 recall=0.5210641 tp=5504 tn=37473 fp=4698 fn=5059
树个数为272： accu=0.8137065 recall=0.5250402 tp=5546 tn=37364 fp=4807 fn=5017
树个数为273： accu=0.81349796 recall=0.52560824 tp=5552 tn=37347 fp=4824 fn=5011
树个数为274： accu=0.81380135 recall=0.5270283 tp=5567 tn=37348 fp=4823 fn=4996
树个数为275： accu=0.8081314 recall=0.529111 tp=5589 tn=37027 fp=5144 fn=4974
树个数为276： accu=0.8119809 recall=0.50856763 tp=5372 tn=37447 fp=4724 fn=5191
树个数为277： accu=0.81581146 recall=0.49143237 tp=5191 tn=37830 fp=4341 fn=5372
树个数为278： accu=0.82106423 recall=0.49304175 tp=5208 tn=38090 fp=4081 fn=5355
树个数为279： accu=0.821197 recall=0.4925684 tp=5203 tn=38102 fp=4069 fn=5360
树个数为280： accu=0.81713885 recall=0.49644986 tp=5244 tn=37847 fp=4324 fn=5319
树个数为281： accu=0.8200402 recall=0.45829782 tp=4841 tn=38403 fp=3768 fn=5722
树个数为282： accu=0.8190352 recall=0.45801383 tp=4838 tn=38353 fp=3818 fn=5725
树个数为283： accu=0.81930065 recall=0.45526838 tp=4809 tn=38396 fp=3775 fn=5754
树个数为284： accu=0.82047635 recall=0.453943 tp=4795 tn=38472 fp=3699 fn=5768
树个数为285： accu=0.82131076 recall=0.45564708 tp=4813 tn=38498 fp=3673 fn=5750
树个数为286： accu=0.8216331 recall=0.45564708 tp=4813 tn=38515 fp=3656 fn=5750
树个数为287： accu=0.82252437 recall=0.47183564 tp=4984 tn=38391 fp=3780 fn=5579
树个数为288： accu=0.8225623 recall=0.4736344 tp=5003 tn=38374 fp=3797 fn=5560
树个数为289： accu=0.8209315 recall=0.47467574 tp=5014 tn=38277 fp=3894 fn=5549
树个数为290： accu=0.8239087 recall=0.48736155 tp=5148 tn=38300 fp=3871 fn=5415
树个数为291： accu=0.8182197 recall=0.48726687 tp=5147 tn=38001 fp=4170 fn=5416
树个数为292： accu=0.8147116 recall=0.49521917 tp=5231 tn=37732 fp=4439 fn=5332
